Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Team,GameID
Jimmy Butler,25:49,1,8,.125,0,2,.000,1,2,.500,1,3,4,5,1,1,1,1,3,2.8,-30,.169,.125,.250,.250,3.9,11.2,7.6,30.8,1.9,4.0,10.1,17.4,63,119,-8.9,MIA,202410230MIA
Josh Richardson,Did Not Dress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,202410230MIA
Kel'el Ware,6:15,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+13,.000,.000,1.000,.000,0.0,15.4,7.8,0.0,0.0,0.0,50.0,14.5,0,123,-26.4,MIA,202410230MIA
Kevin Love,Not With Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,202410230MIA
Nikola Jović,24:01,7,14,.500,1,7,.143,0,1,.000,1,4,5,1,1,1,1,4,15,9.3,0,.519,.536,.500,.071,4.2,16.0,10.2,11.1,2.1,4.3,6.5,29.2,95,116,-1.9,MIA,202410230MIA
Pelle Larsson,6:15,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,+13,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.3,200,113,6.7,MIA,202410230MIA
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,MIA,202410230MIA
Team Totals,240,32,82,.390,11,34,.324,22,29,.759,9,32,41,24,5,8,11,19,97,,,.512,.457,.415,.354,18.8,64.0,41.8,75.0,5.2,17.0,10.4,100.0,100.9,120.7,,MIA,202410230MIA
Terry Rozier,32:03,5,15,.333,2,7,.286,7,7,1.000,0,6,6,5,0,2,3,0,19,14.2,-14,.525,.400,.467,.467,0.0,18.0,9.2,30.5,0.0,6.4,14.2,29.9,100,120,1.1,MIA,202410230MIA
Thomas Bryant,16:01,2,2,1.000,1,1,1.000,2,2,1.000,0,3,3,2,0,1,1,0,7,8.4,-2,1.215,1.250,.500,1.000,0.0,18.0,9.2,23.0,0.0,6.4,25.8,11.0,169,120,9.9,MIA,202410230MIA
Tyler Herro,28:45,5,11,.455,2,5,.400,2,2,1.000,0,5,5,3,0,1,1,1,14,11.2,-27,.589,.545,.455,.182,0.0,16.7,8.5,21.2,0.0,3.6,7.8,20.3,112,121,-0.1,MIA,202410230MIA
A.J. Green,4:04,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,1.7,+4,,,,,0.0,0.0,0.0,27.4,11.9,0.0,,0.0,237,94,16.1,MIL,202410230PHI
AJ Johnson,1:06,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0,120,-50.7,MIL,202410230PHI
